GEOCODE_MALLA_2010,Población,Población. Edad media,Población. Hombres,Población. Mujeres,Población de mujeres dividida por la población de hombres,Población de nacionalidad española,Población de nacionalidad extranjera,Población de nacionalidad extranjera (%),Población de 0 a 14 años de edad,Población de 15 a 64 años de edad,Población de 65 o más años de edad,Población de 0 a 14 años de edad (%),Población de 15 a 64 años de edad (%),Población de 65 o más años de edad (%),Suma de la población de 0 a 14 años y de la población de 65 o más años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 15 a 64 años,Población de 0 a 14 años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 0 a 14 años,Población de 0 a 14 años dividida por la población de 65 o más años,Superficie calculada sobre geom no generalizado (ha),Población / km2,Población. Extranjeros / km2,Población. Nacidos en Canarias,Población. Nacidos en el resto de España,Población. Nacidos en el extranjero,Población. Nacidos en Canarias (%),Población. Nacidos en el resto de España (%),Población. Nacidos en el extranjero (%)
250mN098250E181550,2337,42,1171,1166,99.6,2296,41,1.8,338,1552,447,14.5,66.4,19.1,50.6,50.6,50.6,132.2,75.6,6.2,37392,656,2204,70,63,94.3,3,2.7
250mN098250E181575,2352,43.3,1132,1220,107.8,2225,127,5.4,330,1535,487,14,65.3,20.7,53.2,53.2,53.2,147.6,67.8,6.2,37632,2032,2085,88,179,88.6,3.7,7.6
250mN098250E181600,1367,43.4,665,702,105.6,1294,73,5.3,182,914,271,13.3,66.9,19.8,49.6,49.6,49.6,148.9,67.2,6.2,21872,1168,1212,51,104,88.7,3.7,7.6
250mN098250E181625,38,45,20,18,90,38,0,0,4,27,7,10.5,71.1,18.4,40.7,40.7,40.7,175,57.1,6.2,608,0,38,0,0,100,0,0
250mN098250E181650,622,44.4,314,308,98.1,615,7,1.1,81,397,144,13,63.8,23.2,56.7,56.7,56.7,177.8,56.2,6.2,9952,112,582,26,14,93.6,4.2,2.3
250mN098250E181675,1007,42,508,499,98.2,944,63,6.3,149,680,178,14.8,67.5,17.7,48.1,48.1,48.1,119.5,83.7,6.2,16112,1008,857,79,71,85.1,7.8,7.1
250mN098250E181700,1678,41.4,791,887,112.1,1511,167,10,240,1149,289,14.3,68.5,17.2,46,46,46,120.4,83,6.2,26848,2672,1222,206,250,72.8,12.3,14.9
250mN098250E181725,1768,41.9,830,938,113,1568,200,11.3,241,1206,321,13.6,68.2,18.2,46.6,46.6,46.6,133.2,75.1,6.2,28288,3200,1251,267,250,70.8,15.1,14.1
250mN098250E181750,846,40.8,398,448,112.6,804,42,5,135,568,143,16,67.1,16.9,48.9,48.9,48.9,105.9,94.4,6.2,13631.1,676.7,567,205,74,67,24.2,8.7
250mN098250E196400,30,49.6,15,15,100,30,0,0,,22,,,73.3,,,,,,,6.2,480,0,30,0,0,100,0,0
250mN098250E197300,24,44.9,13,11,84.6,,,,3,16,5,12.5,66.7,20.8,50,50,50,166.7,60,6.2,384,,20,,,83.3,,
250mN098250E197325,20,34.2,12,8,66.7,20,0,0,6,11,3,30,55,15,81.8,81.8,81.8,50,200,6.2,320,0,18,,,90,,
250mN098275E177750,198,37.2,102,96,94.1,190,8,4,41,135,22,20.7,68.2,11.1,46.7,46.7,46.7,53.7,186.4,6.2,3168,128,187,,,94.4,,
250mN098275E179800,27,46.8,18,9,50,27,0,0,,19,,,70.4,,,,,,,6.2,432,0,27,0,0,100,0,0
250mN098275E179825,31,47.2,17,14,82.4,31,0,0,5,16,10,16.1,51.6,32.3,93.8,93.8,93.8,200,50,6.2,496,0,31,0,0,100,0,0
250mN098275E179850,29,42.1,15,14,93.3,29,0,0,4,19,6,13.8,65.5,20.7,52.6,52.6,52.6,150,66.7,6.2,464,0,25,,,86.2,,
250mN098275E180075,15,47.9,9,6,66.7,15,0,0,,8,,,53.3,,,,,,,6.2,240,0,15,0,0,100,0,0
250mN098275E180100,65,43.1,34,31,91.2,65,0,0,,55,,,84.6,,,,,,,6.2,1040,0,64,,,98.5,,
250mN098275E180125,13,51,8,5,62.5,13,0,0,0,9,4,0,69.2,30.8,44.4,44.4,44.4,,0,6.2,208,0,13,0,0,100,0,0
250mN098275E180150,44,51.1,24,20,83.3,44,0,0,3,30,11,6.8,68.2,25,46.7,46.7,46.7,366.7,27.3,6.2,704,0,43,,,97.7,,
250mN098275E180175,41,47.7,16,25,156.2,41,0,0,6,23,12,14.6,56.1,29.3,78.3,78.3,78.3,200,50,6.2,656,0,37,4,0,90.2,9.8,0
250mN098275E180200,36,44,18,18,100,36,0,0,6,23,7,16.7,63.9,19.4,56.5,56.5,56.5,116.7,85.7,6.2,576,0,36,0,0,100,0,0
250mN098275E180225,28,44.8,15,13,86.7,,,,,18,,,64.3,,,,,,,6.2,448,,26,,,92.9,,
250mN098275E180500,66,38,38,28,73.7,66,0,0,13,45,8,19.7,68.2,12.1,46.7,46.7,46.7,61.5,162.5,6.2,1056,0,64,,,97,,
250mN098275E180525,44,39.2,27,17,63,44,0,0,6,33,5,13.6,75,11.4,33.3,33.3,33.3,83.3,120,6.2,704,0,40,,,90.9,,
250mN098275E180600,27,41.4,13,14,107.7,,,,4,18,5,14.8,66.7,18.5,50,50,50,125,80,6.2,432,,25,,,92.6,,
250mN098275E180625,69,40.9,37,32,86.5,69,0,0,12,47,10,17.4,68.1,14.5,46.8,46.8,46.8,83.3,120,6.2,1104,0,66,3,0,95.7,4.3,0
250mN098275E180675,16,48.2,8,8,100,16,0,0,,10,,,62.5,,,,,,,6.2,256,0,14,,,87.5,,
250mN098275E180825,29,43.6,17,12,70.6,29,0,0,3,20,6,10.3,69,20.7,45,45,45,200,50,6.2,464,0,28,,,96.6,,
250mN098275E180850,12,39.8,8,4,50,12,0,0,,8,,,66.7,,,,,,,6.2,192,0,9,,,75,,
250mN098275E180975,95,27.6,47,48,102.1,95,0,0,,71,,,74.7,,,,,,,6.2,1520,0,85,,,89.5,,
250mN098275E181000,395,30.9,204,191,93.6,388,7,1.8,95,296,4,24.1,74.9,1,33.4,33.4,33.4,4.2,2375,6.2,6320,112,347,28,20,87.8,7.1,5.1
250mN098275E181025,777,35.6,401,376,93.8,761,16,2.1,149,566,62,19.2,72.8,8,37.3,37.3,37.3,41.6,240.3,6.2,12432,256,713,31,33,91.8,4,4.2
250mN098275E181050,538,41.9,269,269,100,515,23,4.3,79,368,91,14.7,68.4,16.9,46.2,46.2,46.2,115.2,86.8,6.2,8608,368,486,14,38,90.3,2.6,7.1
250mN098275E181075,252,36.7,118,134,113.6,240,12,4.8,45,184,23,17.9,73,9.1,37,37,37,51.1,195.7,6.2,4032,192,227,6,19,90.1,2.4,7.5
250mN098275E181100,74,32.3,36,38,105.6,,,,,58,,,78.4,,,,,,,6.2,1184,,66,5,3,89.2,6.8,4.1
250mN098275E181125,34,27.6,18,16,88.9,31,3,8.8,6,28,0,17.6,82.4,0,21.4,21.4,21.4,0,,6.2,544,48,31,0,3,91.2,0,8.8
250mN098275E181175,502,42.7,249,253,101.6,495,7,1.4,58,354,90,11.6,70.5,17.9,41.8,41.8,41.8,155.2,64.4,6.2,8032,112,473,19,10,94.2,3.8,2
250mN098275E181200,719,37.7,371,348,93.8,657,62,8.6,124,511,84,17.2,71.1,11.7,40.7,40.7,40.7,67.7,147.6,6.2,11504,992,601,31,87,83.6,4.3,12.1
250mN098275E181225,1851,31.7,917,934,101.9,1801,50,2.7,450,1335,66,24.3,72.1,3.6,38.7,38.7,38.7,14.7,681.8,6.2,29616,800,1643,88,120,88.8,4.8,6.5
250mN098275E181250,440,31.2,204,236,115.7,427,13,3,95,335,10,21.6,76.1,2.3,31.3,31.3,31.3,10.5,950,6.2,7040,208,376,27,37,85.5,6.1,8.4
250mN098275E181300,56,37.3,31,25,80.6,49,7,12.5,5,47,4,8.9,83.9,7.1,19.1,19.1,19.1,80,125,6.2,896,112,44,,,78.6,,
250mN098275E181350,170,33.6,90,80,88.9,165,5,2.9,39,125,6,22.9,73.5,3.5,36,36,36,15.4,650,6.2,2720,80,140,14,16,82.4,8.2,9.4
250mN098275E181375,1529,34.7,742,787,106.1,1412,117,7.7,318,1115,96,20.8,72.9,6.3,37.1,37.1,37.1,30.2,331.2,6.2,24464,1872,1071,246,212,70,16.1,13.9
250mN098275E181400,580,32.1,286,294,102.8,553,27,4.7,149,410,21,25.7,70.7,3.6,41.5,41.5,41.5,14.1,709.5,6.2,9280,432,428,88,64,73.8,15.2,11
250mN098275E181425,218,36.7,101,117,115.8,212,6,2.8,39,169,10,17.9,77.5,4.6,29,29,29,25.6,390,6.2,3488,96,173,21,24,79.4,9.6,11
250mN098275E181475,59,46.6,25,34,136,56,3,5.1,6,38,15,10.2,64.4,25.4,55.3,55.3,55.3,250,40,6.2,944,48,47,4,8,79.7,6.8,13.6
250mN098275E181500,484,43.6,247,237,96,432,52,10.7,74,304,106,15.3,62.8,21.9,59.2,59.2,59.2,143.2,69.8,6.2,7744,832,352,50,82,72.7,10.3,16.9
250mN098275E181525,1738,41.7,821,917,111.7,1613,125,7.2,266,1137,335,15.3,65.4,19.3,52.9,52.9,52.9,125.9,79.4,6.2,27808,2000,1436,92,210,82.6,5.3,12.1
250mN098275E181550,1696,42.5,824,872,105.8,1580,116,6.8,238,1136,322,14,67,19,49.3,49.3,49.3,135.3,73.9,6.2,27136,1856,1416,73,207,83.5,4.3,12.2
250mN098275E181575,1939,42.2,919,1020,111,1750,189,9.7,279,1294,366,14.4,66.7,18.9,49.8,49.8,49.8,131.2,76.2,6.2,31024,3024,1600,80,259,82.5,4.1,13.4
250mN098275E181600,1282,41.6,609,673,110.5,1158,124,9.7,181,881,220,14.1,68.7,17.2,45.5,45.5,45.5,121.5,82.3,6.2,20512,1984,1061,64,157,82.8,5,12.2
250mN098275E181625,438,44.7,197,241,122.3,415,23,5.3,53,296,89,12.1,67.6,20.3,48,48,48,167.9,59.6,6.2,7008,368,385,16,37,87.9,3.7,8.4
250mN098275E181650,661,46,313,348,111.2,654,7,1.1,81,416,164,12.3,62.9,24.8,58.9,58.9,58.9,202.5,49.4,6.2,10576,112,597,49,15,90.3,7.4,2.3
250mN098275E181675,175,44.6,85,90,105.9,167,8,4.6,14,135,26,8,77.1,14.9,29.6,29.6,29.6,185.7,53.8,6.2,2800,128,128,38,9,73.1,21.7,5.1
250mN098275E181700,1821,43.4,827,994,120.2,1700,121,6.6,226,1233,362,12.4,67.7,19.9,47.7,47.7,47.7,160.2,62.4,6.2,29136,1936,1434,203,184,78.7,11.1,10.1
250mN098275E181725,1186,39.7,573,613,107,1033,153,12.9,184,835,167,15.5,70.4,14.1,42,42,42,90.8,110.2,6.2,18976,2448,805,190,191,67.9,16,16.1
250mN098275E181750,177,45.3,88,89,101.1,173,4,2.3,20,111,46,11.3,62.7,26,59.5,59.5,59.5,230,43.5,4.8,3722.1,84.1,123,44,10,69.5,24.9,5.6
250mN098275E197250,14,42.1,6,8,133.3,,,,,10,,,71.4,,,,,,,6.2,224,,12,,,85.7,,
250mN098300E177675,20,48.2,10,10,100,,,,,12,,,60,,,,,,,6.2,320,,18,,,90,,
250mN098300E177700,12,43.5,6,6,100,12,0,0,,9,,,75,,,,,,,6.2,192,0,11,,,91.7,,
250mN098300E177750,10,35.3,4,6,150,10,0,0,,8,,,80,,,,,,,6.2,160,0,9,,,90,,
250mN098300E179100,12,56.1,7,5,71.4,12,0,0,0,8,4,0,66.7,33.3,50,50,50,,0,6.2,192,0,12,0,0,100,0,0
250mN098300E179775,64,36.5,33,31,93.9,64,0,0,16,40,8,25,62.5,12.5,60,60,60,50,200,6.2,1024,0,64,0,0,100,0,0
250mN098300E179800,72,49.3,36,36,100,72,0,0,6,43,23,8.3,59.7,31.9,67.4,67.4,67.4,383.3,26.1,6.2,1152,0,70,,,97.2,,
250mN098300E179850,55,52.9,32,23,71.9,55,0,0,5,33,17,9.1,60,30.9,66.7,66.7,66.7,340,29.4,6.2,880,0,53,,,96.4,,
250mN098300E179900,16,31.8,7,9,128.6,16,0,0,,8,,,50,,,,,,,6.2,256,0,15,,,93.8,,
250mN098300E180000,16,53,9,7,77.8,16,0,0,,8,,,50,,,,,,,6.2,256,0,16,0,0,100,0,0
250mN098300E180100,23,40.9,16,7,43.8,23,0,0,,21,,,91.3,,,,,,,6.2,368,0,23,0,0,100,0,0
250mN098300E180175,55,47,32,23,71.9,,,,3,42,10,5.5,76.4,18.2,31,31,31,333.3,30,6.2,880,,48,,,87.3,,
250mN098300E180200,13,43.5,7,6,85.7,13,0,0,,8,,,61.5,,,,,,,6.2,208,0,12,,,92.3,,
250mN098300E180225,24,42.8,14,10,71.4,24,0,0,,20,,,83.3,,,,,,,6.2,384,0,24,0,0,100,0,0
250mN098300E180250,16,55.1,8,8,100,16,0,0,,7,,,43.8,,,,,,,6.2,256,0,16,0,0,100,0,0
250mN098300E180475,32,36,17,15,88.2,32,0,0,,27,,,84.4,,,,,,,6.2,512,0,30,,,93.8,,
250mN098300E180500,70,39.5,33,37,112.1,66,4,5.7,9,53,8,12.9,75.7,11.4,32.1,32.1,32.1,88.9,112.5,6.2,1120,64,66,,,94.3,,
250mN098300E180525,19,42.8,10,9,90,19,0,0,,15,,,78.9,,,,,,,6.2,304,0,19,0,0,100,0,0
250mN098300E180550,13,45,7,6,85.7,,,,,9,,,69.2,,,,,,,6.2,208,,11,,,84.6,,
250mN098300E180575,10,42.5,5,5,100,10,0,0,,9,,,90,,,,,,,6.2,160,0,9,,,90,,
250mN098300E180600,34,32.8,20,14,70,,,,,23,,,67.6,,,,,,,6.2,544,,30,,,88.2,,
250mN098300E180625,45,37.2,20,25,125,,,,10,28,7,22.2,62.2,15.6,60.7,60.7,60.7,70,142.9,6.2,720,,41,,,91.1,,
250mN098300E180700,21,46.5,9,12,133.3,21,0,0,3,15,3,14.3,71.4,14.3,40,40,40,100,100,6.2,336,0,19,,,90.5,,
250mN098300E180900,15,39.3,7,8,114.3,15,0,0,,13,,,86.7,,,,,,,6.2,240,0,15,0,0,100,0,0
250mN098300E181000,108,31,53,55,103.8,103,5,4.6,,82,,,75.9,,,,,,,6.2,1728,80,89,9,10,82.4,8.3,9.3
250mN098300E181025,130,33.8,63,67,106.3,130,0,0,33,90,7,25.4,69.2,5.4,44.4,44.4,44.4,21.2,471.4,6.2,2080,0,119,11,0,91.5,8.5,0
250mN098300E181050,133,44.1,74,59,79.7,129,4,3,11,89,33,8.3,66.9,24.8,49.4,49.4,49.4,300,33.3,6.2,2128,64,122,5,6,91.7,3.8,4.5
250mN098300E181075,586,38.2,289,297,102.8,576,10,1.7,95,427,64,16.2,72.9,10.9,37.2,37.2,37.2,67.4,148.4,6.2,9376,160,550,16,20,93.9,2.7,3.4
250mN098300E181100,270,38.7,131,139,106.1,,,,42,189,39,15.6,70,14.4,42.9,42.9,42.9,92.9,107.7,6.2,4320,,261,5,4,96.7,1.9,1.5
250mN098300E181125,52,38.7,29,23,79.3,,,,9,34,9,17.3,65.4,17.3,52.9,52.9,52.9,100,100,6.2,832,,50,,,96.2,,
250mN098300E181150,261,43.3,129,132,102.3,254,7,2.7,39,166,56,14.9,63.6,21.5,57.2,57.2,57.2,143.6,69.6,6.2,4176,112,241,9,11,92.3,3.4,4.2
250mN098300E181175,1385,38.5,700,685,97.9,1342,43,3.1,245,951,189,17.7,68.7,13.6,45.6,45.6,45.6,77.1,129.6,6.2,22160,688,1278,44,63,92.3,3.2,4.5
250mN098300E181200,894,37.3,453,441,97.4,862,32,3.6,148,665,81,16.6,74.4,9.1,34.4,34.4,34.4,54.7,182.7,6.2,14304,512,804,37,53,89.9,4.1,5.9
250mN098300E181225,986,33.7,494,492,99.6,953,33,3.3,217,709,60,22,71.9,6.1,39.1,39.1,39.1,27.6,361.7,6.2,15776,528,891,43,52,90.4,4.4,5.3
250mN098300E181250,24,42.6,13,11,84.6,24,0,0,,21,,,87.5,,,,,,,6.2,384,0,23,,,95.8,,
250mN098300E181275,21,41.1,12,9,75,,,,3,15,3,14.3,71.4,14.3,40,40,40,100,100,6.2,336,,19,,,90.5,,
250mN098300E181300,79,50.2,43,36,83.7,,,,4,53,22,5.1,67.1,27.8,49.1,49.1,49.1,550,18.2,6.2,1264,,76,,,96.2,,
250mN098300E181375,928,32.8,447,481,107.6,874,54,5.8,228,670,30,24.6,72.2,3.2,38.5,38.5,38.5,13.2,760,6.2,14848,864,649,152,127,69.9,16.4,13.7
250mN098300E181400,1592,33.5,755,837,110.9,1456,136,8.5,369,1142,81,23.2,71.7,5.1,39.4,39.4,39.4,22,455.6,6.2,25472,2176,1181,226,185,74.2,14.2,11.6
250mN098300E181425,32,35.8,18,14,77.8,27,5,15.6,6,26,0,18.8,81.2,0,23.1,23.1,23.1,0,,6.2,512,80,22,3,7,68.8,9.4,21.9
250mN098300E181450,800,36,400,400,100,781,19,2.4,136,597,67,17,74.6,8.4,34,34,34,49.3,203,6.2,12800,304,737,31,32,92.1,3.9,4
250mN098300E181475,1362,39.9,658,704,107,1271,91,6.7,189,988,185,13.9,72.5,13.6,37.9,37.9,37.9,97.9,102.2,6.2,21792,1456,1074,119,169,78.9,8.7,12.4
250mN098300E181525,1578,40.2,739,839,113.5,1445,133,8.4,250,1066,262,15.8,67.6,16.6,48,48,48,104.8,95.4,6.2,25248,2128,1263,111,204,80,7,12.9
250mN098300E181550,2264,41.9,1127,1137,100.9,2110,154,6.8,310,1540,414,13.7,68,18.3,47,47,47,133.5,74.9,6.2,36224,2464,1907,108,249,84.2,4.8,11
250mN098300E181575,1581,40.1,748,833,111.4,1396,185,11.7,254,1088,239,16.1,68.8,15.1,45.3,45.3,45.3,94.1,106.3,6.2,25296,2960,1252,80,249,79.2,5.1,15.7
250mN098300E181600,3215,42.3,1515,1700,112.2,3002,213,6.6,448,2160,607,13.9,67.2,18.9,48.8,48.8,48.8,135.5,73.8,6.2,51440,3408,2682,173,360,83.4,5.4,11.2
250mN098300E181625,1632,48,757,875,115.6,1554,78,4.8,164,1037,431,10,63.5,26.4,57.4,57.4,57.4,262.8,38.1,6.2,26112,1248,1410,99,123,86.4,6.1,7.5
250mN098300E181650,1044,43.3,501,543,108.4,957,87,8.3,107,755,182,10.2,72.3,17.4,38.3,38.3,38.3,170.1,58.8,6.2,16704,1392,779,120,145,74.6,11.5,13.9
250mN098300E181675,1337,42.3,615,722,117.4,1208,129,9.6,205,874,258,15.3,65.4,19.3,53,53,53,125.9,79.5,6.2,21392,2064,1020,133,184,76.3,9.9,13.8
250mN098300E181700,1502,40.1,686,816,119,1303,199,13.2,232,1045,225,15.4,69.6,15,43.7,43.7,43.7,97,103.1,6.2,24032,3184,1076,159,267,71.6,10.6,17.8
250mN098300E181725,1308,40,603,705,116.9,1167,141,10.8,216,896,196,16.5,68.5,15,46,46,46,90.7,110.2,6.2,20928,2256,816,301,191,62.4,23,14.6
250mN098300E181750,358,42.5,185,173,93.5,319,39,10.9,49,244,65,13.7,68.2,18.2,46.7,46.7,46.7,132.7,75.4,2.7,13099.2,1427,186,101,71,52,28.2,19.8
250mN098300E196900,25,38.4,12,13,108.3,25,0,0,4,18,3,16,72,12,38.9,38.9,38.9,75,133.3,6.2,400,0,23,,,92,,
250mN098325E177675,31,36.5,22,9,40.9,20,11,35.5,,27,,,87.1,,,,,,,6.2,496,176,19,,,61.3,,
250mN098325E179150,12,57.6,6,6,100,12,0,0,0,8,4,0,66.7,33.3,50,50,50,,0,6.2,192,0,12,0,0,100,0,0
250mN098325E179400,23,52.1,9,14,155.6,23,0,0,,14,,,60.9,,,,,,,6.2,368,0,23,0,0,100,0,0
250mN098325E179800,26,44.4,10,16,160,26,0,0,4,15,7,15.4,57.7,26.9,73.3,73.3,73.3,175,57.1,6.2,416,0,25,,,96.2,,
250mN098325E179900,12,49.8,6,6,100,12,0,0,0,9,3,0,75,25,33.3,33.3,33.3,,0,6.2,192,0,12,0,0,100,0,0
250mN098325E180200,44,42.7,24,20,83.3,,,,5,34,5,11.4,77.3,11.4,29.4,29.4,29.4,100,100,6.2,704,,38,,,86.4,,
250mN098325E180225,55,45.9,31,24,77.4,51,4,7.3,,45,,,81.8,,,,,,,6.2,880,64,51,0,4,92.7,0,7.3
250mN098325E180250,43,38.9,27,16,59.3,,,,7,33,3,16.3,76.7,7,30.3,30.3,30.3,42.9,233.3,6.2,688,,35,,,81.4,,
250mN098325E180475,74,43,40,34,85,74,0,0,10,51,13,13.5,68.9,17.6,45.1,45.1,45.1,130,76.9,6.2,1184,0,72,,,97.3,,
