GEOCODE,Población,Población. Edad media,Población. Hombres,Población. Mujeres,Población de mujeres dividida por la población de hombres,Población de nacionalidad española,Población de nacionalidad extranjera,Población de nacionalidad extranjera (%),Población de 0 a 14 años de edad,Población de 15 a 64 años de edad,Población de 65 o más años de edad,Población de 0 a 14 años de edad (%),Población de 15 a 64 años de edad (%),Población de 65 o más años de edad (%),Suma de la población de 0 a 14 años y de la población de 65 o más años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 15 a 64 años,Población de 0 a 14 años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 0 a 14 años,Población de 0 a 14 años dividida por la población de 65 o más años,Superficie calculada sobre geom no generalizado (ha),Población / km2,Población. Extranjeros / km2,Población. Nacidos en Canarias,Población. Nacidos en el resto de España,Población. Nacidos en el extranjero,Población. Nacidos en Canarias (%),Población. Nacidos en el resto de España (%),Población. Nacidos en el extranjero (%)
250mN097575E197625,14,39.1,5,9,180,11,3,21.4,,12,,,85.7,,,,,,,6.2,224,48,11,0,3,78.6,0,21.4
250mN097575E197650,529,35.1,271,258,95.2,463,66,12.5,96,405,28,18.1,76.6,5.3,30.6,30.6,30.6,29.2,342.9,6.2,8464,1056,308,116,105,58.2,21.9,19.8
250mN097575E197675,911,38.1,463,448,96.8,799,112,12.3,152,663,96,16.7,72.8,10.5,37.4,37.4,37.4,63.2,158.3,6.2,14576,1792,562,152,197,61.7,16.7,21.6
250mN097575E197700,476,36,257,219,85.2,400,76,16,87,352,37,18.3,73.9,7.8,35.2,35.2,35.2,42.5,235.1,6.2,7616,1216,294,84,98,61.8,17.6,20.6
250mN097575E197725,19,50.1,10,9,90,19,0,0,,,9,,,47.4,,,,,,6.2,304,0,18,,,94.7,,
250mN097600E179425,18,52.7,9,9,100,18,0,0,0,15,3,0,83.3,16.7,20,20,20,,0,6.2,288,0,17,,,94.4,,
250mN097600E179550,12,42.8,4,8,200,12,0,0,,10,,,83.3,,,,,,,6.2,192,0,12,0,0,100,0,0
250mN097600E179675,22,42.4,13,9,69.2,,,,,18,,,81.8,,,,,,,6.2,352,,20,,,90.9,,
250mN097600E180075,14,41.3,10,4,40,14,0,0,,11,,,78.6,,,,,,,6.2,224,0,13,,,92.9,,
250mN097600E180150,129,43,65,64,98.5,,,,21,84,24,16.3,65.1,18.6,53.6,53.6,53.6,114.3,87.5,6.2,2064,,125,,,96.9,,
250mN097600E180350,24,46,12,12,100,24,0,0,3,15,6,12.5,62.5,25,60,60,60,200,50,6.2,384,0,23,,,95.8,,
250mN097600E180375,49,44.4,25,24,96,,,,5,35,9,10.2,71.4,18.4,40,40,40,180,55.6,6.2,784,,44,,,89.8,,
250mN097600E180400,50,45.2,20,30,150,,,,4,36,10,8,72,20,38.9,38.9,38.9,250,40,6.2,800,,48,,,96,,
250mN097600E180425,103,43.3,50,53,106,100,3,2.9,15,74,14,14.6,71.8,13.6,39.2,39.2,39.2,93.3,107.1,6.2,1648,48,96,,,93.2,,
250mN097600E180450,21,45.9,10,11,110,21,0,0,,16,,,76.2,,,,,,,6.2,336,0,19,,,90.5,,
250mN097600E180500,47,47.1,21,26,123.8,47,0,0,5,32,10,10.6,68.1,21.3,46.9,46.9,46.9,200,50,6.2,752,0,46,,,97.9,,
250mN097600E180525,86,44.9,42,44,104.8,86,0,0,10,62,14,11.6,72.1,16.3,38.7,38.7,38.7,140,71.4,6.2,1376,0,75,8,3,87.2,9.3,3.5
250mN097600E180550,70,46.8,42,28,66.7,66,4,5.7,5,53,12,7.1,75.7,17.1,32.1,32.1,32.1,240,41.7,6.2,1120,64,65,,,92.9,,
250mN097600E180575,38,42.1,16,22,137.5,38,0,0,5,28,5,13.2,73.7,13.2,35.7,35.7,35.7,100,100,6.2,608,0,38,0,0,100,0,0
250mN097600E180600,69,49.9,36,33,91.7,69,0,0,8,38,23,11.6,55.1,33.3,81.6,81.6,81.6,287.5,34.8,6.2,1104,0,67,,,97.1,,
250mN097600E180625,51,51.6,25,26,104,51,0,0,0,38,13,0,74.5,25.5,34.2,34.2,34.2,,0,6.2,816,0,49,,,96.1,,
250mN097600E180650,34,44.5,17,17,100,,,,,30,,,88.2,,,,,,,6.2,544,,32,,,94.1,,
250mN097600E180675,35,45.5,19,16,84.2,,,,4,22,9,11.4,62.9,25.7,59.1,59.1,59.1,225,44.4,6.2,560,,32,,,91.4,,
250mN097600E180725,21,49.6,12,9,75,,,,,14,,,66.7,,,,,,,6.2,336,,19,,,90.5,,
250mN097600E180825,88,39.9,45,43,95.6,80,8,9.1,10,70,8,11.4,79.5,9.1,25.7,25.7,25.7,80,125,6.2,1408,128,65,15,8,73.9,17,9.1
250mN097600E180875,34,48.2,20,14,70,,,,,21,,,61.8,,,,,,,6.2,544,,27,4,3,79.4,11.8,8.8
250mN097600E180900,52,42.5,27,25,92.6,,,,8,35,9,15.4,67.3,17.3,48.6,48.6,48.6,112.5,88.9,6.2,832,,38,7,7,73.1,13.5,13.5
250mN097600E180925,27,36.6,12,15,125,,,,,18,,,66.7,,,,,,,6.2,432,,23,,,85.2,,
250mN097600E180950,12,42.8,7,5,71.4,12,0,0,,9,,,75,,,,,,,6.2,192,0,11,,,91.7,,
250mN097600E180975,205,39.7,99,106,107.1,198,7,3.4,37,151,17,18,73.7,8.3,35.8,35.8,35.8,45.9,217.6,6.2,3280,112,165,28,12,80.5,13.7,5.9
250mN097600E181000,150,40.9,71,79,111.3,132,18,12,18,112,20,12,74.7,13.3,33.9,33.9,33.9,111.1,90,6.2,2400,288,114,11,25,76,7.3,16.7
250mN097600E181025,196,44.4,98,98,100,,,,18,138,40,9.2,70.4,20.4,42,42,42,222.2,45,6.2,3136,,179,11,6,91.3,5.6,3.1
250mN097600E181050,12,50.8,6,6,100,12,0,0,0,9,3,0,75,25,33.3,33.3,33.3,,0,6.2,192,0,9,,,75,,
250mN097600E181075,17,45.7,10,7,70,,,,0,14,3,0,82.4,17.6,21.4,21.4,21.4,,0,6.2,272,,16,,,94.1,,
250mN097600E181125,42,46.9,23,19,82.6,39,3,7.1,4,28,10,9.5,66.7,23.8,50,50,50,250,40,6.2,672,48,33,,,78.6,,
250mN097600E181275,16,42.3,8,8,100,,,,,11,,,68.8,,,,,,,6.2,256,,11,,,68.8,,
250mN097600E181300,107,38.8,50,57,114,103,4,3.7,15,84,8,14,78.5,7.5,27.4,27.4,27.4,53.3,187.5,6.2,1712,64,89,12,6,83.2,11.2,5.6
250mN097600E181350,35,49,17,18,105.9,,,,3,26,6,8.6,74.3,17.1,34.6,34.6,34.6,200,50,6.2,560,,30,,,85.7,,
250mN097600E181375,16,46.4,9,7,77.8,16,0,0,,12,,,75,,,,,,,6.2,256,0,15,,,93.8,,
250mN097600E181400,14,45.6,7,7,100,14,0,0,,12,,,85.7,,,,,,,6.2,224,0,14,0,0,100,0,0
250mN097600E195825,12,39.4,5,7,140,,,,,8,,,66.7,,,,,,,6.2,192,,7,0,5,58.3,0,41.7
250mN097600E196975,18,46.4,13,5,38.5,18,0,0,,17,,,94.4,,,,,,,6.2,288,0,18,0,0,100,0,0
250mN097600E197400,207,30.3,101,106,105,177,30,14.5,49,153,5,23.7,73.9,2.4,35.3,35.3,35.3,10.2,980,6.2,3312,480,103,31,73,49.8,15,35.3
250mN097600E197450,159,34.3,76,83,109.2,135,24,15.1,27,124,8,17,78,5,28.2,28.2,28.2,29.6,337.5,6.2,2544,384,60,43,56,37.7,27,35.2
250mN097600E197475,1153,36,595,558,93.8,953,200,17.3,223,839,91,19.3,72.8,7.9,37.4,37.4,37.4,40.8,245.1,6.2,18448,3200,630,231,292,54.6,20,25.3
250mN097600E197500,734,37.8,387,347,89.7,552,182,24.8,106,574,54,14.4,78.2,7.4,27.9,27.9,27.9,50.9,196.3,6.2,11744,2912,359,116,259,48.9,15.8,35.3
250mN097600E197525,631,36.1,323,308,95.4,553,78,12.4,116,472,43,18.4,74.8,6.8,33.7,33.7,33.7,37.1,269.8,6.2,10096,1248,315,161,155,49.9,25.5,24.6
250mN097600E197550,206,36,100,106,106,202,4,1.9,39,152,15,18.9,73.8,7.3,35.5,35.5,35.5,38.5,260,6.2,3296,64,107,80,19,51.9,38.8,9.2
250mN097600E197600,146,34.2,70,76,108.6,123,23,15.8,28,114,4,19.2,78.1,2.7,28.1,28.1,28.1,14.3,700,6.2,2336,368,80,33,33,54.8,22.6,22.6
250mN097600E197625,214,34.8,102,112,109.8,185,29,13.6,42,157,15,19.6,73.4,7,36.3,36.3,36.3,35.7,280,6.2,3424,464,116,54,44,54.2,25.2,20.6
250mN097600E197650,231,38.1,117,114,97.4,206,25,10.8,30,175,26,13,75.8,11.3,32,32,32,86.7,115.4,6.2,3696,400,158,34,39,68.4,14.7,16.9
250mN097600E197675,385,35.3,195,190,97.4,327,58,15.1,71,293,21,18.4,76.1,5.5,31.4,31.4,31.4,29.6,338.1,6.2,6160,928,191,109,85,49.6,28.3,22.1
250mN097600E197700,70,33.6,30,40,133.3,54,16,22.9,13,54,3,18.6,77.1,4.3,29.6,29.6,29.6,23.1,433.3,6.2,1120,256,29,20,21,41.4,28.6,30
250mN097600E197725,26,43.4,13,13,100,,,,,24,,,92.3,,,,,,,6.2,416,,16,6,4,61.5,23.1,15.4
250mN097625E179525,60,47.1,32,28,87.5,55,5,8.3,6,37,17,10,61.7,28.3,62.2,62.2,62.2,283.3,35.3,6.2,960,80,47,6,7,78.3,10,11.7
250mN097625E179850,38,50.2,18,20,111.1,38,0,0,,27,,,71.1,,,,,,,6.2,608,0,34,,,89.5,,
250mN097625E179900,20,52,12,8,66.7,20,0,0,0,15,5,0,75,25,33.3,33.3,33.3,,0,6.2,320,0,20,0,0,100,0,0
250mN097625E179950,38,46.3,18,20,111.1,38,0,0,5,23,10,13.2,60.5,26.3,65.2,65.2,65.2,200,50,6.2,608,0,38,0,0,100,0,0
250mN097625E180325,36,47.7,21,15,71.4,36,0,0,4,24,8,11.1,66.7,22.2,50,50,50,200,50,6.2,576,0,35,,,97.2,,
250mN097625E180350,17,50.7,9,8,88.9,17,0,0,,10,,,58.8,,,,,,,6.2,272,0,16,,,94.1,,
250mN097625E180375,25,46.4,14,11,78.6,,,,0,21,4,0,84,16,19,19,19,,0,6.2,400,,23,,,92,,
250mN097625E180400,12,33.7,7,5,71.4,12,0,0,,10,,,83.3,,,,,,,6.2,192,0,12,0,0,100,0,0
250mN097625E180425,27,45.6,16,11,68.8,27,0,0,,23,,,85.2,,,,,,,6.2,432,0,26,,,96.3,,
250mN097625E180500,35,46.4,18,17,94.4,32,3,8.6,4,24,7,11.4,68.6,20,45.8,45.8,45.8,175,57.1,6.2,560,48,32,0,3,91.4,0,8.6
250mN097625E180525,25,41.9,10,15,150,25,0,0,,22,,,88,,,,,,,6.2,400,0,24,,,96,,
250mN097625E180550,79,46.4,34,45,132.4,76,3,3.8,12,49,18,15.2,62,22.8,61.2,61.2,61.2,150,66.7,6.2,1264,48,75,0,4,94.9,0,5.1
250mN097625E180575,103,40,49,54,110.2,100,3,2.9,16,71,16,15.5,68.9,15.5,45.1,45.1,45.1,100,100,6.2,1648,48,89,9,5,86.4,8.7,4.9
250mN097625E180600,74,37.3,34,40,117.6,,,,17,51,6,23,68.9,8.1,45.1,45.1,45.1,35.3,283.3,6.2,1184,,69,,,93.2,,
250mN097625E180625,68,52.9,34,34,100,68,0,0,,45,,,66.2,,,,,,,6.2,1088,0,63,,,92.6,,
250mN097625E180650,40,42.7,20,20,100,40,0,0,7,25,8,17.5,62.5,20,60,60,60,114.3,87.5,6.2,640,0,37,,,92.5,,
250mN097625E180675,94,44.7,49,45,91.8,94,0,0,10,67,17,10.6,71.3,18.1,40.3,40.3,40.3,170,58.8,6.2,1504,0,86,,,91.5,,
250mN097625E180775,88,44.8,43,45,104.7,88,0,0,9,63,16,10.2,71.6,18.2,39.7,39.7,39.7,177.8,56.2,6.2,1408,0,82,3,3,93.2,3.4,3.4
250mN097625E180800,83,43.2,38,45,118.4,80,3,3.6,11,57,15,13.3,68.7,18.1,45.6,45.6,45.6,136.4,73.3,6.2,1328,48,64,12,7,77.1,14.5,8.4
250mN097625E180825,149,41.7,79,70,88.6,,,,21,108,20,14.1,72.5,13.4,38,38,38,95.2,105,6.2,2384,,124,17,8,83.2,11.4,5.4
250mN097625E180850,37,37.3,19,18,94.7,31,6,16.2,,32,,,86.5,,,,,,,6.2,592,96,23,5,9,62.2,13.5,24.3
250mN097625E180900,106,40.8,58,48,82.8,94,12,11.3,16,72,18,15.1,67.9,17,47.2,47.2,47.2,112.5,88.9,6.2,1696,192,78,14,14,73.6,13.2,13.2
250mN097625E180925,111,41,54,57,105.6,102,9,8.1,16,80,15,14.4,72.1,13.5,38.8,38.8,38.8,93.8,106.7,6.2,1776,144,79,15,17,71.2,13.5,15.3
250mN097625E180975,35,43.4,16,19,118.8,25,10,28.6,9,15,11,25.7,42.9,31.4,133.3,133.3,133.3,122.2,81.8,6.2,560,160,24,0,11,68.6,0,31.4
250mN097625E181000,67,36.7,32,35,109.4,56,11,16.4,11,52,4,16.4,77.6,6,28.8,28.8,28.8,36.4,275,6.2,1072,176,49,5,13,73.1,7.5,19.4
250mN097625E181025,35,47.7,14,21,150,35,0,0,4,19,12,11.4,54.3,34.3,84.2,84.2,84.2,300,33.3,6.2,560,0,35,0,0,100,0,0
250mN097625E181050,37,38.2,19,18,94.7,31,6,16.2,5,29,3,13.5,78.4,8.1,27.6,27.6,27.6,60,166.7,6.2,592,96,28,4,5,75.7,10.8,13.5
250mN097625E181225,23,41.8,13,10,76.9,23,0,0,,18,,,78.3,,,,,,,6.2,368,0,18,5,0,78.3,21.7,0
250mN097625E181250,107,44.5,51,56,109.8,104,3,2.8,15,69,23,14,64.5,21.5,55.1,55.1,55.1,153.3,65.2,6.2,1712,48,96,5,6,89.7,4.7,5.6
250mN097625E181275,57,39,30,27,90,52,5,8.8,9,43,5,15.8,75.4,8.8,32.6,32.6,32.6,55.6,180,6.2,912,80,49,,,86,,
250mN097625E181300,59,49,29,30,103.4,55,4,6.8,3,38,18,5.1,64.4,30.5,55.3,55.3,55.3,600,16.7,6.2,944,64,52,,,88.1,,
250mN097625E181375,30,36.5,13,17,130.8,,,,5,25,0,16.7,83.3,0,20,20,20,0,,6.2,480,,26,,,86.7,,
250mN097625E181400,56,34,25,31,124,,,,12,40,4,21.4,71.4,7.1,40,40,40,33.3,300,6.2,896,,48,4,4,85.7,7.1,7.1
250mN097625E181450,18,32,11,7,63.6,15,3,16.7,,10,,,55.6,,,,,,,6.2,288,48,13,,,72.2,,
250mN097625E195750,12,44.3,5,7,140,12,0,0,,9,,,75,,,,,,,6.2,192,0,10,,,83.3,,
250mN097625E196025,20,37.2,10,10,100,12,8,40,,16,,,80,,,,,,,6.2,320,128,11,,,55,,
250mN097625E197000,12,34.6,6,6,100,,,,,10,,,83.3,,,,,,,6.2,192,,10,,,83.3,,
250mN097625E197025,10,35.3,3,7,233.3,10,0,0,,9,,,90,,,,,,,6.2,160,0,9,,,90,,
250mN097625E197400,30,42,17,13,76.5,30,0,0,4,23,3,13.3,76.7,10,30.4,30.4,30.4,75,133.3,6.2,480,0,26,,,86.7,,
250mN097625E197450,370,34.9,178,192,107.9,295,75,20.3,63,283,24,17,76.5,6.5,30.7,30.7,30.7,38.1,262.5,6.2,5920,1200,166,92,112,44.9,24.9,30.3
250mN097625E197475,937,35.2,490,447,91.2,759,178,19,181,695,61,19.3,74.2,6.5,34.8,34.8,34.8,33.7,296.7,6.2,14992,2848,460,203,274,49.1,21.7,29.2
250mN097625E197500,925,36.1,459,466,101.5,748,177,19.1,164,686,75,17.7,74.2,8.1,34.8,34.8,34.8,45.7,218.7,6.2,14800,2832,479,163,283,51.8,17.6,30.6
250mN097625E197525,711,34.3,343,368,107.3,556,155,21.8,134,540,37,18.8,75.9,5.2,31.7,31.7,31.7,27.6,362.2,6.2,11376,2480,313,144,254,44,20.3,35.7
250mN097625E197550,274,38.5,133,141,106,245,29,10.6,46,199,29,16.8,72.6,10.6,37.7,37.7,37.7,63,158.6,6.2,4384,464,155,58,61,56.6,21.2,22.3
250mN097625E197625,84,35.3,42,42,100,,,,13,66,5,15.5,78.6,6,27.3,27.3,27.3,38.5,260,6.2,1344,,60,19,5,71.4,22.6,6
250mN097650E179200,24,60.7,15,9,60,24,0,0,0,13,11,0,54.2,45.8,84.6,84.6,84.6,,0,6.2,384,0,23,,,95.8,,
250mN097650E179550,74,49.8,33,41,124.2,71,3,4.1,7,41,26,9.5,55.4,35.1,80.5,80.5,80.5,371.4,26.9,6.2,1184,48,65,0,9,87.8,0,12.2
250mN097650E179825,17,39.3,8,9,112.5,17,0,0,3,11,3,17.6,64.7,17.6,54.5,54.5,54.5,100,100,6.2,272,0,14,3,0,82.4,17.6,0
250mN097650E179850,13,50.8,8,5,62.5,13,0,0,0,10,3,0,76.9,23.1,30,30,30,,0,6.2,208,0,13,0,0,100,0,0
250mN097650E179875,41,50.3,19,22,115.8,41,0,0,3,28,10,7.3,68.3,24.4,46.4,46.4,46.4,333.3,30,6.2,656,0,40,,,97.6,,
250mN097650E179900,15,52,9,6,66.7,15,0,0,0,12,3,0,80,20,25,25,25,,0,6.2,240,0,15,0,0,100,0,0
250mN097650E179925,55,43.4,28,27,96.4,,,,4,40,11,7.3,72.7,20,37.5,37.5,37.5,275,36.4,6.2,880,,54,,,98.2,,
250mN097650E179950,121,46.9,75,46,61.3,117,4,3.3,12,82,27,9.9,67.8,22.3,47.6,47.6,47.6,225,44.4,6.2,1936,64,115,,,95,,
250mN097650E179975,10,50.5,6,4,66.7,10,0,0,0,7,3,0,70,30,42.9,42.9,42.9,,0,6.2,160,0,9,,,90,,
250mN097650E180325,14,53.1,7,7,100,10,4,28.6,,7,,,50,,,,,,,6.2,224,64,10,0,4,71.4,0,28.6
250mN097650E180500,21,47.4,9,12,133.3,21,0,0,3,12,6,14.3,57.1,28.6,75,75,75,200,50,6.2,336,0,20,,,95.2,,
250mN097650E180550,17,33.7,10,7,70,17,0,0,,11,,,64.7,,,,,,,6.2,272,0,16,,,94.1,,
250mN097650E180600,19,44,10,9,90,,,,,14,,,73.7,,,,,,,6.2,304,,14,,,73.7,,
250mN097650E180625,35,46.8,18,17,94.4,35,0,0,3,23,9,8.6,65.7,25.7,52.2,52.2,52.2,300,33.3,6.2,560,0,34,,,97.1,,
250mN097650E180650,168,39,92,76,82.6,,,,24,129,15,14.3,76.8,8.9,30.2,30.2,30.2,62.5,160,6.2,2688,,159,6,3,94.6,3.6,1.8
250mN097650E180675,183,38.2,90,93,103.3,180,3,1.6,35,133,15,19.1,72.7,8.2,37.6,37.6,37.6,42.9,233.3,6.2,2928,48,169,5,9,92.3,2.7,4.9
250mN097650E180700,33,44.2,19,14,73.7,,,,,24,,,72.7,,,,,,,6.2,528,,25,3,5,75.8,9.1,15.2
250mN097650E180725,28,36.9,14,14,100,,,,4,21,3,14.3,75,10.7,33.3,33.3,33.3,75,133.3,6.2,448,,20,,,71.4,,
250mN097650E180750,70,42.5,36,34,94.4,,,,7,55,8,10,78.6,11.4,27.3,27.3,27.3,114.3,87.5,6.2,1120,,58,,,82.9,,
250mN097650E180775,179,42.7,85,94,110.6,173,6,3.4,18,141,20,10.1,78.8,11.2,27,27,27,111.1,90,6.2,2864,96,144,23,12,80.4,12.8,6.7
250mN097650E180800,64,38.8,33,31,93.9,64,0,0,12,42,10,18.8,65.6,15.6,52.4,52.4,52.4,83.3,120,6.2,1024,0,57,3,4,89.1,4.7,6.2
250mN097650E180825,55,38.7,24,31,129.2,,,,5,46,4,9.1,83.6,7.3,19.6,19.6,19.6,80,125,6.2,880,,51,,,92.7,,
250mN097650E180850,11,49.1,6,5,83.3,,,,,10,,,90.9,,,,,,,6.2,176,,8,0,3,72.7,0,27.3
250mN097650E180925,25,41.9,16,9,56.2,,,,6,13,6,24,52,24,92.3,92.3,92.3,100,100,6.2,400,,19,3,3,76,12,12
250mN097650E180950,10,35.3,6,4,66.7,10,0,0,,6,,,60,,,,,,,6.2,160,0,9,,,90,,
250mN097650E180975,42,38.4,17,25,147.1,42,0,0,7,31,4,16.7,73.8,9.5,35.5,35.5,35.5,57.1,175,6.2,672,0,40,,,95.2,,
250mN097650E181000,31,38.7,15,16,106.7,,,,,26,,,83.9,,,,,,,6.2,496,,24,,,77.4,,
250mN097650E181075,13,55.5,6,7,116.7,13,0,0,,8,,,61.5,,,,,,,6.2,208,0,11,,,84.6,,
250mN097650E181175,13,36.5,7,6,85.7,13,0,0,,8,,,61.5,,,,,,,6.2,208,0,10,3,0,76.9,23.1,0
250mN097650E181200,15,36.4,8,7,87.5,,,,,11,,,73.3,,,,,,,6.2,240,,8,0,7,53.3,0,46.7
250mN097650E181225,101,42.8,49,52,106.1,,,,15,64,22,14.9,63.4,21.8,57.8,57.8,57.8,146.7,68.2,6.2,1616,,93,5,3,92.1,5,3
250mN097650E181275,42,47.9,19,23,121.1,39,3,7.1,6,23,13,14.3,54.8,31,82.6,82.6,82.6,216.7,46.2,6.2,672,48,38,0,4,90.5,0,9.5
250mN097650E181300,11,32.7,8,3,37.5,11,0,0,,9,,,81.8,,,,,,,6.2,176,0,11,0,0,100,0,0
250mN097650E181350,27,36.6,14,13,92.9,27,0,0,,22,,,81.5,,,,,,,6.2,432,0,27,0,0,100,0,0
250mN097650E181375,12,33.3,6,6,100,12,0,0,,6,,,50,,,,,,,6.2,192,0,12,0,0,100,0,0
250mN097650E195750,16,33.8,5,11,220,16,0,0,,13,,,81.2,,,,,,,6.2,256,0,16,0,0,100,0,0
250mN097650E196825,41,41.7,18,23,127.8,41,0,0,5,28,8,12.2,68.3,19.5,46.4,46.4,46.4,160,62.5,6.2,656,0,39,,,95.1,,
250mN097650E197425,38,33.5,19,19,100,27,11,28.9,8,27,3,21.1,71.1,7.9,40.7,40.7,40.7,37.5,266.7,6.2,608,176,22,5,11,57.9,13.2,28.9
250mN097650E197450,639,32.5,320,319,99.7,496,143,22.4,150,463,26,23.5,72.5,4.1,38,38,38,17.3,576.9,6.2,10224,2288,331,124,184,51.8,19.4,28.8
250mN097650E197475,1034,33.6,511,523,102.3,868,166,16.1,222,754,58,21.5,72.9,5.6,37.1,37.1,37.1,26.1,382.8,6.2,16544,2656,601,194,239,58.1,18.8,23.1
250mN097650E197500,769,34.7,351,418,119.1,673,96,12.5,146,572,51,19,74.4,6.6,34.4,34.4,34.4,34.9,286.3,6.2,12304,1536,501,125,143,65.1,16.3,18.6
250mN097650E197550,61,35.6,30,31,103.3,57,4,6.6,,50,,,82,,,,,,,6.2,976,64,42,6,13,68.9,9.8,21.3
250mN097650E197575,159,33.1,75,84,112,146,13,8.2,40,108,11,25.2,67.9,6.9,47.2,47.2,47.2,27.5,363.6,6.2,2544,208,80,49,30,50.3,30.8,18.9
250mN097650E197600,487,33.9,242,245,101.2,432,55,11.3,111,346,30,22.8,71,6.2,40.8,40.8,40.8,27,370,6.2,7792,880,322,74,91,66.1,15.2,18.7
250mN097650E197625,437,33.6,199,238,119.6,366,71,16.2,82,342,13,18.8,78.3,3,27.8,27.8,27.8,15.9,630.8,6.2,6992,1136,232,98,107,53.1,22.4,24.5
250mN097675E179500,179,46.8,91,88,96.7,173,6,3.4,16,124,39,8.9,69.3,21.8,44.4,44.4,44.4,243.8,41,6.2,2864,96,169,0,10,94.4,0,5.6
250mN097675E179525,161,48.8,79,82,103.8,156,5,3.1,13,108,40,8.1,67.1,24.8,49.1,49.1,49.1,307.7,32.5,6.2,2576,80,150,3,8,93.2,1.9,5
250mN097675E179550,170,52,85,85,100,165,5,2.9,7,116,47,4.1,68.2,27.6,46.6,46.6,46.6,671.4,14.9,6.2,2720,80,156,4,10,91.8,2.4,5.9
250mN097675E179575,39,50.9,23,16,69.6,,,,,28,,,71.8,,,,,,,6.2,624,,37,,,94.9,,
250mN097675E179800,21,50.7,12,9,75,21,0,0,3,13,5,14.3,61.9,23.8,61.5,61.5,61.5,166.7,60,6.2,336,0,20,,,95.2,,
250mN097675E179825,51,49.6,25,26,104,51,0,0,5,31,15,9.8,60.8,29.4,64.5,64.5,64.5,300,33.3,6.2,816,0,51,0,0,100,0,0
250mN097675E179850,51,42.6,26,25,96.2,48,3,5.9,6,36,9,11.8,70.6,17.6,41.7,41.7,41.7,150,66.7,6.2,816,48,47,,,92.2,,
250mN097675E179900,25,42.5,13,12,92.3,25,0,0,,22,,,88,,,,,,,6.2,400,0,25,0,0,100,0,0
250mN097675E179950,23,49.5,15,8,53.3,23,0,0,,16,,,69.6,,,,,,,6.2,368,0,22,,,95.7,,
250mN097675E180300,27,40.4,15,12,80,27,0,0,3,21,3,11.1,77.8,11.1,28.6,28.6,28.6,100,100,6.2,432,0,27,0,0,100,0,0
250mN097675E180475,19,43,10,9,90,,,,,12,,,63.2,,,,,,,6.2,304,,17,,,89.5,,
250mN097675E180600,17,44,9,8,88.9,17,0,0,,15,,,88.2,,,,,,,6.2,272,0,16,,,94.1,,
250mN097675E180625,31,43.6,13,18,138.5,28,3,9.7,,24,,,77.4,,,,,,,6.2,496,48,23,,,74.2,,
250mN097675E180650,42,50.5,15,27,180,,,,,27,,,64.3,,,,,,,6.2,672,,38,0,4,90.5,0,9.5
250mN097675E180675,30,49.3,19,11,57.9,30,0,0,,21,,,70,,,,,,,6.2,480,0,30,0,0,100,0,0
250mN097675E180700,76,39.3,36,40,111.1,73,3,3.9,13,50,13,17.1,65.8,17.1,52,52,52,100,100,6.2,1216,48,67,4,5,88.2,5.3,6.6
250mN097675E180725,76,58.1,25,51,204,73,3,3.9,5,38,33,6.6,50,43.4,100,100,100,660,15.2,6.2,1216,48,59,14,3,77.6,18.4,3.9
250mN097675E180750,273,41.4,135,138,102.2,248,25,9.2,38,193,42,13.9,70.7,15.4,41.5,41.5,41.5,110.5,90.5,6.2,4368,400,223,20,30,81.7,7.3,11
250mN097675E180775,64,37,32,32,100,60,4,6.2,17,38,9,26.6,59.4,14.1,68.4,68.4,68.4,52.9,188.9,6.2,1024,64,47,12,5,73.4,18.8,7.8
250mN097675E180800,27,41.2,15,12,80,,,,,22,,,81.5,,,,,,,6.2,432,,23,,,85.2,,
250mN097675E180825,94,41.2,52,42,80.8,87,7,7.4,11,70,13,11.7,74.5,13.8,34.3,34.3,34.3,118.2,84.6,6.2,1504,112,76,6,12,80.9,6.4,12.8
250mN097675E180850,57,44.6,31,26,83.9,53,4,7,8,38,11,14,66.7,19.3,50,50,50,137.5,72.7,6.2,912,64,48,4,5,84.2,7,8.8
250mN097675E180875,93,40.9,44,49,111.4,,,,15,62,16,16.1,66.7,17.2,50,50,50,106.7,93.8,6.2,1488,,78,9,6,83.9,9.7,6.5
250mN097675E180900,75,41.9,41,34,82.9,65,10,13.3,10,55,10,13.3,73.3,13.3,36.4,36.4,36.4,100,100,6.2,1200,160,57,7,11,76,9.3,14.7
250mN097675E180950,28,40.1,11,17,154.5,28,0,0,,23,,,82.1,,,,,,,6.2,448,0,25,3,0,89.3,10.7,0
250mN097675E180975,72,45.1,37,35,94.6,57,15,20.8,7,51,14,9.7,70.8,19.4,41.2,41.2,41.2,200,50,6.2,1152,240,50,3,19,69.4,4.2,26.4
250mN097675E181000,14,42.3,8,6,75,14,0,0,,12,,,85.7,,,,,,,6.2,224,0,13,,,92.9,,
250mN097675E181075,25,51.8,12,13,108.3,25,0,0,0,16,9,0,64,36,56.2,56.2,56.2,,0,6.2,400,0,22,3,0,88,12,0
250mN097675E181125,11,36,8,3,37.5,11,0,0,,8,,,72.7,,,,,,,6.2,176,0,8,,,72.7,,
250mN097675E181175,17,56.7,9,8,88.9,17,0,0,,9,,,52.9,,,,,,,6.2,272,0,16,,,94.1,,
