date,GEOCODE_MUNICIPIOS_DESPUES_2007,Población,Población. Edad media,Población. Edad media Densidad,Población Hombres,Población Mujeres,Población. Índice de feminidad,Población de nacionalidad española,Población de nacionalidad extranjera,Población de nacionalidad extranjera (%),Población de 0 a 14 años de edad,Población de 15 a 64 años de edad,Población de 65 o más años de edad,Población de 65 a 74 años de edad,Población de 75 a 84 años de edad,Población de 85 o más años de edad,Población de 0 a 14 años de edad (%),Población de 15 a 64 años de edad (%),Población de 65 o más años de edad (%),Población. Índice de dependencia,Población. Índice de dependencia mayores de 64 años,Población. Índice de dependencia menores de 15 años,Índice de Vejez,Índice de Juventud,Índice de Sobreenvejecimiento,Índice de Ancianidad,superficie,Densidad de Población,Densidad de Población Extranjera,Población de 0 a 2 años,Población de 3 a 5 años,Población de 6 a 11 años,Población de 12 a 15 años,Población de 16 a 17 años,Población de 0 a 17 años,Población. Nacidos en Canarias,Población. Nacidos en el resto de España,Población. Nacidos en el extranjero,Población. Nacidos en Canarias (%),Población. Nacidos en el resto de España (%),Población. Nacidos en el extranjero (%)
2020-01-01,35023,13897,45.098042743,45.096750873,6914,6983,100.99797512,13555,342,2.4609627977,1523,9679,2695,1324,908,463,10.959199827,69.648125495,19.392674678,43.578882116,27.843785515,15.735096601,176.95338148,56.512059369,17.179962894,33.692022263,4261.820000,326.08134553,8.0247406038,201,263,642,553,282,1941,13001,327,569,93.552565302,2.3530258329,4.0944088652
2020-01-01,35024,22703,41.217394177,41.213374515,11428,11275,98.661183059,17955,4748,20.913535656,3362,16397,2944,1683,954,307,14.808615601,72.223935163,12.967449236,38.458254559,17.954503873,20.503750686,87.56692445,114.19836957,10.42798913,32.404891304,22400.600000,101.34996384,21.195860825,470,640,1440,1079,509,4138,13496,3713,5494,59.445888209,16.354666784,24.199445007
2020-01-01,35025,1883,52.166489644,52.166242649,1016,867,85.334645669,1843,40,2.1242697823,110,1211,562,284,208,70,5.8417419012,64.312267658,29.845990441,55.49132948,46.407927333,9.083402147,510.90909091,19.572953737,12.455516014,37.010676157,10386.300000,18.12965156,0.3851227097,20,19,40,36,20,135,1749,57,77,92.883696229,3.0270844397,4.0892193309
2020-01-01,35026,102791,41.856889222,41.853921926,50425,52366,103.84928111,99576,3215,3.127705733,13672,74149,14970,8752,4548,1670,13.30077536,72.135692814,14.563531827,38.627628154,20.189078747,18.438549407,109.49385606,91.329325317,11.155644623,30.380761523,10033.100000,1024.5188426,32.043934577,1947,2522,5737,4772,2375,17353,90873,5558,6360,88.405599712,5.4070881692,6.1873121188
2020-01-01,35027,12522,44.238859607,44.232026623,6410,6112,95.351014041,12312,210,1.6770483948,1500,8811,2211,1119,729,363,11.978917106,70.36415908,17.656923814,42.117807286,25.093632959,17.024174328,147.4,67.842605156,16.417910448,32.971506106,2580.730000,485.21154867,8.1372324885,202,246,605,577,271,1901,11667,337,518,93.17201725,2.6912633765,4.1367193739
2020-01-01,35028,20628,41.767403529,41.768124292,10607,10021,94.475346469,12498,8130,39.412449098,2743,14906,2979,1845,900,234,13.297459763,72.26100446,14.441535777,38.38722662,19.985240843,18.401985778,108.60371856,92.077878483,7.8549848943,30.211480363,6432.050000,320.70646217,126.39827116,488,525,1165,746,347,3271,9040,2696,8892,43.823928641,13.069614117,43.106457243
2020-01-01,35029,6434,40.223500155,40.223573134,3324,3110,93.561973526,5529,905,14.065899907,977,4645,812,455,248,109,15.184954927,72.194591234,12.620453839,38.514531755,17.48116254,21.033369214,83.111566018,120.32019704,13.42364532,30.541871921,13577.900000,47.385825496,6.6652427842,135,203,393,329,174,1234,4785,586,1063,74.370531551,9.10786447,16.521603979
2020-01-01,35030,15596,39.162413439,39.16062333,7972,7624,95.634721525,12636,2960,18.979225442,2490,11318,1788,1085,482,221,15.965632213,72.569889715,11.464478071,37.798197561,15.797844142,22.000353419,71.807228916,139.26174497,12.360178971,26.957494407,27629.800000,56.446300733,10.71307067,431,453,998,781,349,3012,9592,2153,3851,61.502949474,13.804821749,24.692228777
2020-01-01,35031,9377,41.831769223,41.830222156,4704,4673,99.340986395,8987,390,4.1591127226,1251,6849,1277,704,409,164,13.341153887,73.040418044,13.618428069,36.910497883,18.645057673,18.26544021,102.07833733,97.963978074,12.842599843,32.028191073,3880.130000,241.66716064,10.051209624,156,191,545,475,238,1605,8354,318,705,89.090327397,3.3912765277,7.5183960755
2020-01-01,35032,3727,48.622887041,48.621481844,1957,1770,90.444557997,3669,58,1.5562114301,320,2493,914,473,298,143,8.5859940971,66.890260263,24.52374564,49.498596069,36.662655435,12.835940634,285.625,35.010940919,15.645514223,32.603938731,2212.890000,168.4222894,2.6210069186,40,56,137,115,41,389,3527,77,123,94.633753689,2.0660048296,3.3002414811
