date,GEOCODE_MUNICIPIOS_ANTES_2007,Población,Población. Edad media,Población. Edad media Densidad,Población Hombres,Población Mujeres,Población. Índice de feminidad,Población de nacionalidad española,Población de nacionalidad extranjera,Población de nacionalidad extranjera (%),Población de 0 a 14 años de edad,Población de 15 a 64 años de edad,Población de 65 o más años de edad,Población de 65 a 74 años de edad,Población de 75 a 84 años de edad,Población de 85 o más años de edad,Población de 0 a 14 años de edad (%),Población de 15 a 64 años de edad (%),Población de 65 o más años de edad (%),Población. Índice de dependencia,Población. Índice de dependencia mayores de 64 años,Población. Índice de dependencia menores de 15 años,Índice de Vejez,Índice de Juventud,Índice de Sobreenvejecimiento,Índice de Ancianidad,superficie,Densidad de Población,Densidad de Población Extranjera,Población de 0 a 2 años,Población de 3 a 5 años,Población de 6 a 11 años,Población de 12 a 15 años,Población de 16 a 17 años,Población de 0 a 17 años,Población. Nacidos en Canarias,Población. Nacidos en el resto de España,Población. Nacidos en el extranjero,Población. Nacidos en Canarias (%),Población. Nacidos en el resto de España (%),Población. Nacidos en el extranjero (%)
2007-01-01,38003,2142,41.161531279,41.157995847,1174,968,82.453151618,1824,318,14.845938375,269,1531,342,193,113,36,12.558356676,71.475256769,15.966386555,39.908556499,22.338340954,17.570215545,127.13754647,78.65497076,10.526315789,33.040935673,4960.680000,43.179564092,6.4104114758,45,57,118,63,34,317,1628,109,405,76.003734827,5.0887021475,18.907563025
2007-01-01,38004,5310,42.021280603,42.020245659,2568,2742,106.77570093,5166,144,2.7118644068,700,3627,983,496,357,130,13.1826742,68.305084746,18.512241055,46.401985112,27.102288393,19.299696719,140.42857143,71.210579858,13.224821974,36.317395727,3436.180000,154.53206759,4.1907001379,83,173,299,198,123,876,4759,186,365,89.623352166,3.5028248588,6.8738229755
2007-01-01,38005,7565,41.150495704,41.159036287,3884,3681,94.773429454,6223,1342,17.739590218,1036,5275,1254,730,384,140,13.694646398,69.729015202,16.576338401,43.412322275,23.772511848,19.639810427,121.04247104,82.615629984,11.164274322,30.622009569,17893.400000,42.278158427,7.4999720567,199,213,405,283,149,1249,5765,268,1532,76.206212822,3.5426305354,20.251156642
2007-01-01,38006,72328,36.758862405,36.759592831,37621,34707,92.254326041,43178,29150,40.302510784,10697,55205,6426,4400,1622,404,14.789569738,76.325904214,8.884526048,31.017118015,11.640249977,19.376868037,60.07291764,166.46436352,6.2869592281,25.241207594,8159.850000,886.38884293,357.23695901,2001,2182,4394,2837,1504,12918,29334,10822,32172,40.556907422,14.962393541,44.480699038
2007-01-01,38007,2383,46.031682753,46.045806438,1218,1165,95.648604269,2310,73,3.0633655057,239,1535,609,297,240,72,10.029374738,64.414603441,25.556021821,55.244299674,39.674267101,15.570032573,254.81171548,39.244663383,11.822660099,39.408866995,4349.520000,54.78765473,1.6783461164,42,39,96,76,46,299,2027,30,326,85.060847671,1.2589173311,13.680234998
2007-01-01,38008,7184,39.039114699,39.043157736,3539,3645,102.99519638,6632,552,7.6837416481,1152,4960,1072,610,349,113,16.035634744,69.042316258,14.922048998,44.838709677,21.612903226,23.225806452,93.055555556,107.46268657,10.541044776,32.555970149,3089.340000,232.54157846,17.867894113,210,257,454,310,169,1400,5806,380,998,80.818485523,5.289532294,13.891982183
2007-01-01,38009,4708,39.320093458,39.320434962,2427,2281,93.98434281,4296,412,8.7510620221,687,3358,663,383,207,73,14.592183517,71.325403568,14.082412914,40.202501489,19.743895176,20.458606313,96.506550218,103.6199095,11.010558069,31.221719457,1415.880000,332.51405486,29.098511173,143,129,267,188,96,823,3498,484,726,74.299065421,10.280373832,15.420560748
2007-01-01,38010,5188,42.74460293,42.757642155,2632,2556,97.112462006,4943,245,4.7224363917,620,3586,982,528,354,100,11.950655359,69.121048574,18.928296068,44.673731177,27.38427217,17.289459007,158.38709677,63.136456212,10.183299389,36.048879837,6636.410000,78.174796313,3.6917550302,82,137,259,186,120,784,4521,95,572,87.143407864,1.8311488049,11.025443331
2007-01-01,38011,22477,37.87580638,37.876818944,11093,11384,102.62327594,20476,2001,8.9024335988,3542,16339,2596,1638,780,178,15.758330738,72.692085243,11.549584019,37.566558541,15.888365261,21.67819328,73.291925466,136.44067797,6.8567026194,30.046224961,4948.050000,454.25975889,40.440173402,672,728,1377,997,482,4256,16276,2823,3378,72.411798728,12.559505272,15.028696
2007-01-01,38012,2708,44.939807976,44.950146447,1375,1333,96.945454545,2617,91,3.3604135894,285,1820,603,325,217,61,10.52437223,67.208271787,22.267355982,48.791208791,33.131868132,15.659340659,211.57894737,47.263681592,10.116086235,35.986733002,4524.910000,59.846494184,2.0110897233,56,55,121,68,39,339,2432,73,203,89.807976366,2.6957163959,7.4963072378
